"ID","NAME","PRECISE_NAME","LAYER","STATE","COUNTRY"
205995,"armagh","armagh","micro","PA","US"
195602,"armand bayou","armand bayou","micro","TX","US"
169308,"armatage","armatage","micro","MN","US"
354919,"armawalk","armawalk","micro","NY","US"
195298,"armbrust acres - pacific heights","armbrust acres - pacific heights","micro","NE","US"
238924,"armenia","armenia","micro","NY","US"
238935,"armenia","greater armenia","micro","NY","US"
201774,"armenian town","armenian town","micro","CA","US"
141370,"armington","armington","micro","IL","US"
141387,"armington","greater armington","micro","IL","US"
163251,"armington corner","armington corner","micro","RI","US"
165370,"armistead gardens","armistead gardens","micro","MD","US"
201543,"armona","armona","micro","CA","US"
354841,"armonk","greater armonk","micro","NY","US"
354851,"armonk","armonk","micro","NY","US"
185531,"armory park","armory park","micro","AZ","US"
238344,"armour hills - oak meyer gardens","armour hills - oak meyer gardens","micro","MO","US"
345391,"armstrong","armstrong","micro","IL","US"
1511,"armstrong","armstrong county","county","TX","US"
198557,"armstrong","armstrong","micro","TX","US"
201111,"armstrong","armstrong county","macro","TX","US"
205766,"armstrong","armstrong county","macro","PA","US"
2203,"armstrong","armstrong county","county","PA","US"
261587,"armstrong park","armstrong park","micro","NC","US"
304738,"armstrongs mills","greater armstrongs mills","micro","OH","US"
304721,"armstrongs mills","armstrongs mills","micro","OH","US"
200266,"arnett benson","arnett benson","micro","TX","US"
303155,"arnheim","arnheim","micro","OH","US"
178608,"arnold","arnold","micro","MD","US"
206023,"arnold","arnold","micro","PA","US"
340995,"arnold","arnold","micro","IL","US"
208080,"arnold","greater arnold","micro","CA","US"
208078,"arnold","arnold","micro","CA","US"
178648,"arnold","arnold","macro","MD","US"
205972,"arnold city","arnold city","micro","PA","US"
165060,"arnold creek","arnold creek","micro","OR","US"
171499,"arnold heights","arnold heights","micro","NE","US"
294719,"arnold hills north","arnold hills north","micro","NC","US"
307500,"arnolds landing","arnolds landing","micro","ME","US"
203506,"arnot","arnot","micro","PA","US"
260324,"aroma","aroma","micro","MO","US"
345201,"aroma park","aroma park","micro","IL","US"
345241,"aroma park","greater aroma park","micro","IL","US"
202777,"aromas","aromas","micro","CA","US"
206090,"arona","arona","micro","PA","US"
1926,"aroostook","aroostook county","county","ME","US"
306742,"aroostook","aroostook county","superm","ME","US"
200130,"arp","arp","micro","TX","US"
